program,warnings,unused,unreachable,conversion,cluster
test_828.c,1,0,0,2,2
test_969.c,0,0,0,0,0
test_681.c,1,2,0,0,3
test_470.c,1,4,0,0,1
test_378.c,1,0,0,2,2
test_883.c,0,0,0,0,0
test_307.c,1,4,0,0,1
test_576.c,0,0,0,0,0
test_473.c,1,0,0,2,2
test_53.c,1,0,0,2,2
test_249.c,1,2,0,0,3
test_314.c,1,0,0,2,2
test_383.c,1,0,0,2,2
test_287.c,1,2,0,0,3
test_877.c,1,2,0,0,3
test_41.c,0,0,0,0,0
test_642.c,0,0,0,0,0
test_556.c,1,2,0,0,3
test_425.c,1,0,0,2,2
test_600.c,1,4,0,0,1
test_200.c,0,0,0,0,0
test_419.c,1,0,0,2,2
test_319.c,0,0,0,0,0
test_787.c,0,0,0,0,0
test_261.c,1,2,0,0,3
test_406.c,1,4,0,0,1
test_216.c,0,0,0,0,0
test_0.c,1,2,0,0,3
test_322.c,1,0,0,2,2
test_178.c,1,2,0,0,3
test_924.c,0,0,0,0,0
test_174.c,1,0,0,2,2
test_992.c,0,0,0,0,0
test_854.c,0,0,0,0,0
test_551.c,0,0,0,0,0
test_452.c,0,0,0,0,0
test_186.c,0,0,0,0,0
test_329.c,0,0,0,0,0
test_310.c,1,4,0,0,1
test_153.c,0,0,0,0,0
test_266.c,1,0,0,2,2
test_14.c,0,0,0,0,0
test_127.c,0,0,0,0,0
test_40.c,1,2,0,0,3
test_131.c,0,0,0,0,0
test_150.c,1,0,0,2,2
test_872.c,0,0,0,0,0
test_289.c,1,4,0,0,1
test_774.c,1,4,0,0,1
test_860.c,0,0,0,0,0
test_84.c,1,4,0,0,1
test_954.c,1,0,0,2,2
test_444.c,0,0,0,0,0
test_530.c,0,0,0,0,0
test_262.c,1,4,0,0,1
test_237.c,0,0,0,0,0
test_114.c,1,4,0,0,1
test_849.c,1,4,0,0,1
test_156.c,1,0,0,2,2
test_604.c,1,4,0,0,1
test_316.c,0,0,0,0,0
test_468.c,0,0,0,0,0
test_91.c,0,0,0,0,0
test_12.c,0,0,0,0,0
test_233.c,1,4,0,0,1
test_913.c,0,0,0,0,0
test_117.c,0,0,0,0,0
test_353.c,0,0,0,0,0
test_575.c,1,2,0,0,3
test_559.c,1,2,0,0,3
test_343.c,1,2,0,0,3
test_963.c,0,0,0,0,0
test_996.c,1,2,0,0,3
test_258.c,1,2,0,0,3
test_209.c,1,0,0,2,2
test_481.c,1,2,0,0,3
test_231.c,1,2,0,0,3
test_772.c,1,0,0,2,2
test_144.c,0,0,0,0,0
test_195.c,1,2,0,0,3
